district,fac_name,level_of_care,lat,long,fac_owner
Balaka,Balaka_DHO_Pharmacy,2,-14.98501399,34.94952,Government of Malawi
Balaka,Chiendausiku_Health_Centre,1a,-15.01859198,35.07665995,Government of Malawi
Balaka,Chimatiro_Health_Centre,1a,-14.962681,35.023092,Government of Malawi
Balaka,Kalembo_Health_Centre,1a,-14.84272758,35.17109559,Government of Malawi
Balaka,Kwitanda_Health_Centre,1a,-15.06475603,35.09287503,Government of Malawi
Balaka,Mbera_Health_Centre,1a,-14.91065516,35.05347478,Government of Malawi
Balaka,Namanolo_Health_Centre,1a,-15.00074405,35.19003902,Government of Malawi
Balaka,Namdumbo_Health_Centre,1a,-14.85187673,35.22560478,Government of Malawi
Balaka,Phalula_Health_Centre,1b,-15.22552312,34.89305552,CHAM
Balaka,Phimbi_Health_Centre,1a,-15.25083824,35.10700083,Government of Malawi
Balaka,Utale_1_Health_Centre,1b,-15.16961607,35.07259034,CHAM
Balaka,Balaka_Dream_Clinic,1b,-15.00304871,34.95247881,CHAM
Balaka,Kankao_Health_Centre,1b,-15.05395502,34.92228583,CHAM
Balaka,Ulongwe_Health_Centre,1b,-14.86216819,35.17688178,CHAM
Balaka,Utale_2_Health_centre,1b,-15.16961607,35.07259034,CHAM
Balaka,Comfort_Clinic,1b,-15.00279933,34.9525604,CHAM
Blantyre,Bangwe_Health_Centre,1a,-15.82382,35.08046,Government of Malawi
Blantyre,Blantyre_DHO_Pharmacy,2,-15.80394045,35.01675471,Government of Malawi
Blantyre,Chavala_Health_Centre,1a,-15.83372,34.83461,Government of Malawi
Blantyre,Chikowa_Health_Centre,1a,-13.72943871,33.45819838,Government of Malawi
Blantyre,Chilaweni,1a,-15.67769914,34.95059812486768,Government of Malawi
Blantyre,Chileka_Health_Centre,1a,-15.66287489,34.97058131,Government of Malawi
Blantyre,Chileka_SDA_Health_Centre,1b,-15.65998259,34.92897454,CHAM
Blantyre,Chilomoni_Health_Centre,1a,-15.7736267,34.98202276,Government of Malawi
Blantyre,Chimembe_Health_Centre,1a,-15.77750804,34.8853563,Government of Malawi
Blantyre,Chirimba_Health_Centre,1a,-15.746368,35.022984,Government of Malawi
Blantyre,Dziwe_Health_Centre,1a,-15.56378247,34.88020892,Government of Malawi
Blantyre,Gateway_Clinic,1a,-15.80463886,35.01792827,Government of Malawi
Blantyre,Kadidi_Health_Centre,1a,-15.66080002,35.02240195,Government of Malawi
Blantyre,Limbe_Health_Centre,1a,-15.816989,35.052019,Government of Malawi
Blantyre,Lirangwe_Health_Centre,1a,-15.52946137,35.02990477,Government of Malawi
Blantyre,Lumbira_/_Mitsidi_Health_centre,1b,-15.77706296,34.96868099,CHAM
Blantyre,Lundu_Health_Centre,1a,-15.42175218,35.01277289,Government of Malawi
Blantyre,Madziabango_Health_Centre,1a,-15.96776983,34.90830453,Government of Malawi
Blantyre,Makata_Health_Centre,1a,-15.63019748,35.07955676,Government of Malawi
Blantyre,Makhetha_Clinic_Health_Centre,1a,-15.78355516,35.06947702,Government of Malawi
Blantyre,Malabada_Health_centre,1b,-15.76759,35.04446,CHAM
Blantyre,Mbayani_Health_Centre,1a,-15.77557668,35.00087526,Government of Malawi
Blantyre,Mdeka_Health_Centre,1a,-15.46737596,34.94276094,Government of Malawi
Blantyre,Mpemba_Health_Centre,1a,-15.87500575,34.95655198,Government of Malawi
Blantyre,Mpingo_Maternity,1a,-15.90133704,34.88931182,Government of Malawi
Blantyre,Namikoko_Health_Centre,1a,-15.48670362,35.07389143,Government of Malawi
Blantyre,Ndirande_Health_Centre,1a,-15.7784143,35.03972274,Government of Malawi
Blantyre,Pensulo_Health_Centre,1a,-15.80775128,34.95713072,Government of Malawi
Blantyre,Queen_Elizabeth_Central_Hospital_Pharmacy,3,-15.80172766,35.02009056,Government of Malawi
Blantyre,Soche_Maternity_Health_Centre,1a,-15.84059401,35.02327836293498,Government of Malawi
Blantyre,Soche_SDA_Dispensary,1b,-15.85722391,35.02765473,CHAM
Blantyre,South_Lunzu_Health_Centre,1a,-15.72706867,35.05449593,Government of Malawi
Blantyre,Zingwangwa_Health_Centre,1a,-15.82183,35.011904,Government of Malawi
Blantyre,Mlambe_Hospital,1b,-15.64431432,35.01728843,CHAM
Blantyre,St_Vincent_Health_centre,1b,-15.91404403,34.95032887,CHAM
Chikwawa,Bereu_Health_Centre,1a,-16.14832608,34.84922482487431,Government of Malawi
Chikwawa,Chapananga_Health_Centre,1a,-16.00541836,34.48564569,Government of Malawi
Chikwawa,Chikwawa_DHO_Pharmacy,2,-16.02352654,34.79273832,Government of Malawi
Chikwawa,Chipwaila_Health_Centre,1a,-16.3913481,34.77365288,Government of Malawi
Chikwawa,Chithumba_Health_Centre,1a,-15.80375972,34.4765894,Government of Malawi
Chikwawa,Dolo_Health_Centre,1a,-16.55351076,34.92451683,Government of Malawi
Chikwawa,Gaga_Health_Centre,1a,-15.8068111,34.36463613,Government of Malawi
Chikwawa,Kakoma_Health_Centre,1a,-16.09823053,34.62371346,Government of Malawi
Chikwawa,Kapichira_Escom_Clinic,1a,-15.89481704,34.75751883,
Chikwawa,Majete_Hunger_Clinic,1a,-13,22,Government of Malawi
Chikwawa,Makhwira_Health_Centre,1a,-16.19482407,35.01042174,Government of Malawi
Chikwawa,Mapelera_Health_Centre,1a,-16.10541191,34.91574118,Government of Malawi
Chikwawa,Mfera_Health_Centre,1a,-16.06832105,34.86708176,Government of Malawi
Chikwawa,Mkumaniza_Health_Centre,1a,-16.47944,34.72431,Government of Malawi
Chikwawa,Nchalo_Hunger_Clinic,1a,-16.27055358,34.86377311,Government of Malawi
Chikwawa,Ndakwera_Health_Centre,1a,-16.22356447,34.68922921,Government of Malawi
Chikwawa,Ngabu_Rural/_Community_Hospital,1b,-16.45926883,34.89233322,Government of Malawi
Chikwawa,Ngabu_SDA_Health_Centre,1b,-16.46663117,34.87313942,CHAM
Chikwawa,Sucoma_Clinic_Illovo,1a,-16.25833009,34.89172529,
Chikwawa,Misomali_Health_Centre,1b,-16.03764791,34.53693911,CHAM
Chikwawa,St_Montfort_Hospital,1b,-15.80717078,34.99846239788798,CHAM
Chiradzulu,Bilal_Clinic,1a,-15.74156067,35.13057315,
Chiradzulu,Chiradzulu_DHO_Pharmacy,2,-15.71073435,35.17423266,Government of Malawi
Chiradzulu,Chitera_Health_Centre,1a,-15.60653685,35.12297227,Government of Malawi
Chiradzulu,Malavi_Dispensary,1a,-15.83686,35.14867,Government of Malawi
Chiradzulu,Mauwa_Health_Centre,1a,-15.6527075,35.24993359,Government of Malawi
Chiradzulu,Mbulumbuzi_Health_Centre,1a,-15.63877734,35.15674982,Government of Malawi
Chiradzulu,Milepa_Health_Centre,1a,-15.68702439,35.31871167,Government of Malawi
Chiradzulu,Namadzi_Health_Centre,1a,-15.54662535,35.18766663,Government of Malawi
Chiradzulu,Namitambo_Health_Centre,1a,-15.84141187,35.27092559,Government of Malawi
Chiradzulu,Ndunde_Health_Centre,1a,-15.69622803,35.2335107,Government of Malawi
Chiradzulu,Nkalo_Health_Centre,1a,-15.97059563,35.31032076,Government of Malawi
Chiradzulu,PIM_Health_Centre,1b,-15.75339758,35.19221772,CHAM
Chiradzulu,Thumbwe_Health_Centre,1a,-15.76817541,35.24850665,Government of Malawi
Chiradzulu,St._Joseph_Health_Centre,1b,-15.80143932,35.168121786251994,CHAM
Chitipa,Chambo_Health_Centre,1b,-9.94394079,33.39805178,CHAM
Chitipa,Chisansu_Health_Centre,1a,-9.727943469,33.44330544,Government of Malawi
Chitipa,Chitipa_DHO_Pharmacy,2,-9.70166143,33.26519276,Government of Malawi
Chitipa,Ifumbo_Health_Centre,1a,-9.60443383,33.40493107,Government of Malawi
Chitipa,Kameme_Health_Centre,1a,-9.54413269,33.13118735,Government of Malawi
Chitipa,Kapenda_Health_Centre,1a,-9.4937851,33.24927512,Government of Malawi
Chitipa,Mahowe_Health_Centre,1a,-10.183192,33.690349,Government of Malawi
Chitipa,Misuku_Health_Centre,1a,-9.67977933,33.52085966,Government of Malawi
Chitipa,Msumbe_Health_Center,1b,-9.75094232,33.67593661,CHAM
Chitipa,Nthalire_Health_Centre,1a,-10.34902237,33.64358715,Government of Malawi
Chitipa,Wenya_Health_Centre,1a,-10.11313607,33.56343076,Government of Malawi
Chitipa,Kaseye_Health_Centre,1b,-9.66642531,33.37361862,CHAM
Dedza,Chikuse_Health_Centre,1a,-14.1507089,34.3191941,Government of Malawi
Dedza,Chimoto_Health_Centre,1a,-14.44277095,34.01019628,Government of Malawi
Dedza,Chitowo_Health_Centre,1a,-14.2256346,34.0396484,Government of Malawi
Dedza,Chongoni_College_of_Forestry_Dispensary,1a,-14.31990964,34.26675806,Government of Malawi
Dedza,Dedza_DHO_Pharmacy,2,-14.38596,34.33547,Government of Malawi
Dedza,Dzindevu_Health_Centre,1a,-14.19994032,34.36028775,Government of Malawi
Dedza,Kachindamoto_Health_Centre,1a,-14.18442793,34.58513229,Government of Malawi
Dedza,Kafere_Health_Centre,1a,-14.43162083,33.71789749,Government of Malawi
Dedza,Kalulu_Health_Centre,1a,-13.99685316,34.19741353,Government of Malawi
Dedza,Kanyezi_Health_Centre,1a,-14.31435955,33.95265619,Government of Malawi
Dedza,Kaphuka_Health_Centre,1a,-14.15955677,34.189049,Government of Malawi
Dedza,Kaundu_Health_Centre,1b,-14.29362677,34.62886986,CHAM
Dedza,Lobi_Health_Centre,1a,-14.39072504,34.0716042,Government of Malawi
Dedza,Maonde_Health_Centre,1a,-14.40562678,34.11593762,Government of Malawi
Dedza,Mayani_Health_Centre,1a,-14.09710579,34.24310345,Government of Malawi
Dedza,Mganja_Health_Centre,1a,-14.42065899,34.52317376,Government of Malawi
Dedza,Mikondo_Health_Centre,1a,-14.4468656,33.93939348,Government of Malawi
Dedza,Mjini_Health_Centre,1a,-14.044388,34.238785,Government of Malawi
Dedza,Mlangali_Health_Centre,1a,-14.41324139,34.27268924,Government of Malawi
Dedza,Mphathi_Health_Centre,1a,-14.45511574,34.07651736,Government of Malawi
Dedza,Mphunzi_Health_Centre,1b,-14.37850689,34.17480151,CHAM
Dedza,Mtakataka_Health_Centre,1a,-14.22776587,34.51475354,Government of Malawi
Dedza,Mtakataka_Police_College_Health_Centre,1a,-14.22776587,34.51475354,Government of Malawi
Dedza,Tsoyo_Dispensary,1a,-14.08111051,34.16108968,Government of Malawi
Dedza,Bembeke_Health_Centre,1b,-14.35795953,34.42448903,CHAM
Dedza,Chiphwanya_St_Joseph_Health_Centre,1b,-14.07631544,34.25893765,CHAM
Dedza,Kanyama_Health_Centre,1b,-14.23965438,34.32369557,CHAM
Dedza,Matumba_Health_Centre,1b,-14.37315597,33.90551596,CHAM
Dedza,Mdeza_Health_Centre,1a,-15.46737596,34.94276094,Government of Malawi
Dedza,Mtendere_Hospital,1b,-14.32279404,34.09355912,CHAM
Dedza,Mua_Hospital,1b,-14.28313704,34.50979526,CHAM
Dedza,Kasina_Health_Centre,1b,-14.14252785,34.13187744,CHAM
Dedza,Nakalanzi_Health_Centre,1b,-14.20193905,34.54887795,CHAM
Dowa,Bowe_Health_Centre,1a,-13.27855912,33.6838442,Government of Malawi
Dowa,Chakhaza_Health_Centre,1a,-13.44400935,33.64696228,Government of Malawi
Dowa,Chankhungu_Health_Centre,1a,-13.76486978,34.01469536,Government of Malawi
Dowa,Chezi_Mission_Hospital,1b,-13.65,34.04,CHAM
Dowa,Chinkhwiri_Health_Centre,1a,-13.38543856,33.7210117,Government of Malawi
Dowa,Chisepo_Health_Centre,1a,-13.54389033,33.57312909,Government of Malawi
Dowa,Chizolowondo_Health_Centre,1a,-13.46340111,33.5130867,Government of Malawi
Dowa,Dowa_DHO_Pharmacy,2,-13.655002,33.936754,Government of Malawi
Dowa,Dzaleka_Health_Centre,1a,-13.66147289,33.87034813,Government of Malawi
Dowa,Dzoole_Health_Centre,1a,-13.58533308,33.66142213,Government of Malawi
Dowa,Kayembe_Health_Centre,1a,-13.64248919,33.58304545,Government of Malawi
Dowa,Madisi_Hospital,1b,-13.401613,33.60715781557413,CHAM
Dowa,Mbingwa_Health_Centre,1a,-13.54422659,33.51481675,Government of Malawi
Dowa,Mponela_Rural/_Community_Hospital,1b,-13.53245878,33.73731765,Government of Malawi
Dowa,Msakambewa_Health_Centre,1a,-13.55316784,33.89746766,Government of Malawi
Dowa,Mvera_Mission_Hospital,1b,-13.73682057,34.12863202,CHAM
Dowa,Mvera_Support_Battalion_Health_Centre,1a,-13.77962569,34.13991283,Government of Malawi
Dowa,Mwangala_Health_Centre,1a,-13.4872445,33.92334272,Government of Malawi
Dowa,Thonje_Health_Centre,1a,-13.72621579,34.23716681,Government of Malawi
Dowa,Nalunga_Health_Centre,1a,-13.64052376,34.06371981,Government of Malawi
Dowa,Kasese_Health_Centre,1a,-13.33346368,33.57632899,
Dowa,Mtengowanthenga_CHAM_Facility,1b,-13.67104801,33.77607274,CHAM
Karonga,Atupele_Hospital,1b,-9.73652734,33.83754726,CHAM
Karonga,Chilumba_Barracks_Health_Centre,1a,-10.39036741,34.20805954,Government of Malawi
Karonga,Chilumba_Rural/_Community_Hospital,1b,-10.43249545,34.2516,Government of Malawi
Karonga,Fulirwa_Health_Centre,1a,-10.44763695,34.11231861,Government of Malawi
Karonga,Hara_Health_Centre,1a,-10.48881886,34.16910616,Government of Malawi
Karonga,Iponga_Health_Centre,1a,-9.64616504,33.81227623,Government of Malawi
Karonga,Kaporo_Rural/_Community_Hospital,1b,-9.76756,33.87466,Government of Malawi
Karonga,Karonga_DHO_Pharmacy,2,-9.95490415,33.9114991,Government of Malawi
Karonga,Kasoba_Health_Centre,1a,-9.87377612,33.87022828,Government of Malawi
Karonga,Lupembe_Health_Centre,1a,-10.06598689,33.98780715,Government of Malawi
Karonga,Lwezga_Health_Centre,1a,-10.56692,34.17943,Government of Malawi
Karonga,Mlare_Health_Centre,1a,-10.17307733,34.03590545,Government of Malawi
Karonga,Mpata_Health_Centre,1a,-9.96061546,33.81548241,Government of Malawi
Karonga,Ngana_Health_Centre,1a,-9.62023622,33.69908344,Government of Malawi
Karonga,Nyungwe_Health_Centre,1a,-10.28530814,34.10831437,Government of Malawi
Karonga,Sangiro_Health_Centre,1b,-10.51609,34.21346,CHAM
Karonga,St._Anne's_Health_Centre,1b,-13.75932703,32.99281371,CHAM
Karonga,Wiliro_Health_Centre,1a,-9.89343858,33.61419514,Government of Malawi
Kasungu,Anchor_Farm_Health_Centre,1a,-13.41410301,33.39074045,Government of Malawi
Kasungu,Bua_Health_Centre,1a,-12.79624048,34.20976777,Government of Malawi
Kasungu,Chamama_Health_Centre,1a,-12.924306,33.776861,Government of Malawi
Kasungu,Chamwabvi_Health_Centre,1a,-13.10746871,33.68545024,Government of Malawi
Kasungu,Chinyama_Health_Centre,1a,-16.03822,35.70899,Government of Malawi
Kasungu,Chulu_Health_Centre,1a,-12.82217764,33.30824747,Government of Malawi
Kasungu,Dwangwa_Dispensary,1a,-12.88137538,33.45385682,Government of Malawi
Kasungu,Gogode_Dispensary,1a,-12.8877952,33.56146348,Government of Malawi
Kasungu,Kaluluma_Rural/_Community_Hospital,1b,-12.50652586,33.51877158,Government of Malawi
Kasungu,Kamboni_Health_Centre,1a,-13.30767608,33.18190635,Government of Malawi
Kasungu,Kapelula_Health_Centre,1a,-12.87767,33.87086,Government of Malawi
Kasungu,Kasungu_DHO_Pharmacy,2,-13.036061,33.480428,Government of Malawi
Kasungu,Kawamba_Health_Centre,1a,-13.29574265,33.33951072,Government of Malawi
Kasungu,Khola_Health_Centre,1a,-13.34447,33.31649,Government of Malawi
Kasungu,Linyangwa_Health_Centre,1a,-13.13977086,33.29980692,Government of Malawi
